route,direction,weekday,hour,2013,2014,2015,2016,2017
Mass Turnpike,Eastbound,weekend,9 PM,26.67,26.56,27.93,28.46,28.04
Mass Turnpike,Westbound,weekend,6 AM,26.99,26.72,27.4,27.7,26.62
Mass Turnpike,Westbound,weekend,7 AM,26.87,26.38,28.33,27.24,26.74
Mass Turnpike,Westbound,weekend,8 AM,26.93,26.38,27.63,27.22,27.16
Mass Turnpike,Westbound,weekend,9 AM,26.8,26.52,27.36,27.45,26.98
Mass Turnpike,Westbound,weekend,10 AM,26.92,26.86,27.68,27.78,27.05
Mass Turnpike,Westbound,weekend,11 AM,27.12,27.89,28.76,27.98,28.09
Mass Turnpike,Westbound,weekend,12 PM,29.55,27.22,29.31,27.9,27.35
Mass Turnpike,Westbound,weekend,1 PM,28.39,27.28,29.82,28.04,27.24
Mass Turnpike,Westbound,weekend,2 PM,27.43,27.58,29.57,28.16,27.18
Mass Turnpike,Westbound,weekend,3 PM,28.17,26.98,30.94,28.15,27.21
Mass Turnpike,Westbound,weekend,4 PM,27.21,26.8,29.9,28.39,27.23
Mass Turnpike,Westbound,weekend,5 PM,27.08,26.79,28.84,28.83,27.08
Mass Turnpike,Westbound,weekend,6 PM,27.44,27.11,28.19,28.63,26.83
Mass Turnpike,Westbound,weekend,7 PM,26.98,26.72,27.44,27.85,26.83
Mass Turnpike,Westbound,weekend,8 PM,27.11,26.86,27.77,28.18,27.38
Mass Turnpike,Westbound,weekend,9 PM,27.36,27.28,28.57,29.58,28.05
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",6 AM,49.62,47.5,43.38,42.99,44.86
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",7 AM,52.15,49.52,49.16,49.4,53.52
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",8 AM,50.79,47.59,49.27,50.24,53.03
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",9 AM,42.07,41.72,41.32,42.54,43.16
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",10 AM,39.98,40.74,39.95,42.29,41.77
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",11 AM,40.04,40.42,39.7,42.56,41.14
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",12 PM,39.68,39.9,39.55,41.03,40.81
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",1 PM,38.82,39.65,39.08,43.42,39.78
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",2 PM,38.85,39.98,39.15,41.4,39.94
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",3 PM,39.79,39,39.16,40.25,40.26
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",4 PM,40.53,40.91,39.21,39.91,39.51
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",5 PM,41.24,39.53,38.87,40.79,39.32
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",6 PM,39.61,38.36,38.52,39.67,38.46
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",7 PM,38.38,38.76,39.03,39.26,38.31
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",8 PM,39,39.27,40.21,40.2,40.72
MA-3 to Sagamore Bridge,Northbound,"Tue, Wed, Thu",9 PM,39.14,39.67,41.1,42.18,42
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",6 AM,37.79,37.82,38.63,38.73,38.6
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",7 AM,38.16,38.22,39.21,39.25,39.38
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",8 AM,38.29,39.08,39.72,39.84,39.65
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",9 AM,38.93,38.79,39.24,40.67,39.62
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",10 AM,39.92,38.79,39.41,43.35,39.59
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",11 AM,41.35,39.92,39.87,43.93,40.3
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",12 PM,42.06,39.9,40.11,41.18,41.11
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",1 PM,42.57,39.75,40.22,41.92,42.01
